Mode,Model,Valence_Pearson_r,Valence_MAE,Valence_CCC,Arousal_Pearson_r,Arousal_MAE,Arousal_CCC,Mean_Pearson,Aspect_F1,Opinion_F1
End-to-End,Switch-Unaware Baseline,-0.0518,0.2285,-0.0461,0.0560,0.1293,0.0473,0.0021,0.0064,0.0021
End-to-End,NSSG-DimNet (Ours),0.0116,0.1919,0.0050,0.0714,0.1242,0.0487,0.0415,0.0467,0.0085
End-to-End,Delta (NSSG - Baseline),+0.0634,-0.0366,+0.0512,+0.0155,-0.0050,+0.0014,+0.0394,+0.0403,+0.0064
Oracle,Switch-Unaware Baseline,0.0115,0.2146,0.0099,0.1052,0.1274,0.0933,0.0584,N/A,N/A
Oracle,NSSG-DimNet (Ours),0.0752,0.1898,0.0333,-0.0006,0.1236,-0.0005,0.0373,N/A,N/A
Oracle,Delta (NSSG - Baseline),+0.0637,-0.0248,+0.0233,-0.1059,-0.0038,-0.0937,-0.0211,N/A,N/A
